year,quarter,lad_code,hpi
2021,Q1,E08000009,89.19166666666666
2021,Q1,E08000010,84.23333333333333
2021,Q1,E08000011,84.79166666666667
2021,Q1,E08000012,90.425
2021,Q1,E08000014,88.43333333333334
2021,Q1,E08000015,89.35833333333333
2021,Q1,E08000017,88.64166666666667
2021,Q1,E08000018,87.625
2021,Q1,E08000021,92.04166666666667
2021,Q1,E08000022,88.33333333333333
2021,Q1,E08000023,90.0
2021,Q1,E08000024,92.3
2021,Q1,E08000025,87.90833333333335
2021,Q1,E08000026,90.25833333333333
2021,Q1,E08000027,87.39999999999999
2021,Q1,E08000028,86.35000000000001
2021,Q1,E08000029,90.63333333333333
2021,Q1,E08000030,89.35000000000001
2021,Q1,E08000031,84.20833333333333
2021,Q1,E08000032,89.125
2021,Q1,E08000033,90.76666666666667
2021,Q1,E08000034,88.25833333333333
2021,Q1,E08000035,89.04166666666667
2021,Q1,E08000036,87.30833333333334
2021,Q1,E08000037,91.47500000000001
2021,Q1,E08000038,87.85000000000001
2021,Q1,E08000039,85.80833333333334
2021,Q1,E09000001,92.36666666666667
2021,Q1,E09000002,90.125
2021,Q1,E09000003,92.16666666666667
2021,Q1,E09000004,88.97500000000001
2021,Q1,E09000005,93.675
2021,Q1,E09000006,90.11666666666667
2021,Q1,E09000007,96.46666666666665
2021,Q1,E09000008,91.325
2021,Q1,E09000009,91.39999999999999
2021,Q1,E09000010,93.83333333333333
2021,Q1,E09000011,93.69166666666666
2021,Q1,E09000012,97.125
2021,Q1,E09000013,93.79166666666667
2021,Q1,E09000014,92.72500000000001
2021,Q1,E09000015,92.425
2021,Q1,E09000016,89.44166666666666
2021,Q1,E09000017,91.60000000000001
2021,Q1,E09000018,89.075
2021,Q1,E09000019,100.675
2021,Q1,E09000020,98.64166666666667
2021,Q1,E09000021,90.10000000000001
2021,Q1,E09000022,98.55
2021,Q1,E09000023,95.38333333333333
2021,Q1,E09000024,94.81666666666666
2021,Q1,E09000025,95.01666666666667
2021,Q1,E09000026,92.80833333333334
2021,Q1,E09000027,95.01666666666667
2021,Q1,E09000028,94.55833333333334
2021,Q1,E09000029,89.39166666666667
2021,Q1,E09000030,105.26666666666667
2021,Q1,E09000031,93.90833333333335
2021,Q1,E09000032,93.625
2021,Q1,E09000033,88.46666666666665
2022,Q1,E06000001,96.95
2022,Q1,E06000002,95.375
2022,Q1,E06000003,97.64999999999999
2022,Q1,E06000004,95.04166666666667
2022,Q1,E06000005,97.51666666666667
2022,Q1,E06000006,96.325
2022,Q1,E06000007,96.75
2022,Q1,E06000008,96.76666666666667
2022,Q1,E06000009,98.80833333333334
2022,Q1,E06000010,98.90833333333335
2022,Q1,E06000011,96.85833333333333
2022,Q1,E06000012,98.93333333333334
2022,Q1,E06000013,96.99166666666667
2022,Q1,E06000014,98.26666666666667
2022,Q1,E06000015,95.72500000000001
2022,Q1,E06000016,95.21666666666665
2022,Q1,E06000017,96.15833333333335
2022,Q1,E06000018,96.27499999999999
2022,Q1,E06000020,96.125
2022,Q1,E06000021,96.80833333333334
2022,Q1,E06000022,100.39999999999999
