year,quarter,lad_code,claimant_count
2018,Q2,E07000243,895
2018,Q2,E07000244,3018
2018,Q2,E07000245,1495
2018,Q2,E08000001,6035
2018,Q2,E08000002,2955
2018,Q2,E08000003,11912
2018,Q2,E08000004,6208
2018,Q2,E08000005,4048
2018,Q2,E08000006,4812
2018,Q2,E08000007,3360
2018,Q2,E08000008,4075
2018,Q2,E08000009,3047
2018,Q2,E08000010,5670
2018,Q2,E08000011,3262
2018,Q2,E08000012,11767
2018,Q2,E08000013,3217
2018,Q2,E08000014,5410
2018,Q2,E08000015,5550
2018,Q2,E08000016,5110
2018,Q2,E08000017,6173
2018,Q2,E08000018,4360
2018,Q2,E08000019,9135
2018,Q2,E08000021,8305
2018,Q2,E08000022,3460
2018,Q2,E08000023,4355
2018,Q2,E08000024,5862
2018,Q2,E08000025,35923
2018,Q2,E08000026,4603
2018,Q2,E08000027,7272
2018,Q2,E08000028,7528
2018,Q2,E08000029,3038
2018,Q2,E08000030,5120
2018,Q2,E08000031,7808
2018,Q2,E08000032,9482
2018,Q2,E08000033,4408
2018,Q2,E08000034,7937
2018,Q2,E08000035,11508
2018,Q2,E08000036,4242
2018,Q2,E08000037,4823
2018,Q2,E09000001,67
2018,Q2,E09000002,3470
2018,Q2,E09000003,3588
2018,Q2,E09000004,2077
2018,Q2,E09000005,4805
2018,Q2,E09000006,2372
2018,Q2,E09000007,2838
2018,Q2,E09000008,9727
2018,Q2,E09000009,5265
2018,Q2,E09000010,5092
2018,Q2,E09000011,4258
2018,Q2,E09000012,5077
2018,Q2,E09000013,4507
2018,Q2,E09000014,4580
2018,Q2,E09000015,1860
2018,Q2,E09000016,2578
2018,Q2,E09000017,2615
2018,Q2,E09000018,5597
2018,Q2,E09000019,3912
2018,Q2,E09000020,1998
2018,Q2,E09000021,1278
2018,Q2,E09000022,6672
2018,Q2,E09000023,5502
2018,Q2,E09000024,2735
2018,Q2,E09000025,4783
2018,Q2,E09000026,2567
2018,Q2,E09000027,1537
2018,Q2,E09000028,8005
2018,Q2,E09000029,3003
2018,Q2,E09000030,6700
2018,Q2,E09000031,4078
2018,Q2,E09000032,3463
2018,Q2,E09000033,2625
2018,Q2,N09000001,1735
2018,Q2,N09000002,2345
2018,Q2,N09000003,6975
2018,Q2,N09000004,2565
2018,Q2,N09000005,4407
2018,Q2,N09000006,1465
2018,Q2,N09000007,1253
2018,Q2,N09000008,1950
2018,Q2,N09000009,1468
2018,Q2,N09000010,2272
2018,Q2,N09000011,2067
2018,Q2,S12000005,1382
2018,Q2,S12000006,1597
2018,Q2,S12000008,3285
2018,Q2,S12000010,1927
2018,Q2,S12000011,692
2018,Q2,S12000013,257
2018,Q2,S12000014,2567
2018,Q2,S12000017,3763
2018,Q2,S12000018,2665
2018,Q2,S12000019,1543
2018,Q2,S12000020,1078
2018,Q2,S12000021,4078
2018,Q2,S12000023,103
