feature,missing_rate,nunique_train,target_corr,abs_target_corr,spearman_target_corr,abs_spearman_target_corr,univariate_f,univariate_p,group,intended_type,protected_feature,kept_after_correlation_pruning,quick_xgb_gain,quick_xgb_weight,quick_xgb_gain_positive,abs_target_corr_rank_pct,abs_spearman_target_corr_rank_pct,univariate_f_rank_pct,quick_xgb_gain_rank_pct,combined_selection_score,selected_final,selection_mode
lad_E08000010,0.0,2,0.007826963778137571,0.007826963778137571,0.009287216726238601,0.009287216726238601,0.30209828289673724,0.582594857720541,LAD fixed effect,int8_dummy,False,True,0.0,0.0,False,0.5051698670605613,0.4771048744460857,0.5051698670605613,0.3663220088626292,2.220088626292467,True,auto_quick_xgb_plus_target_corr
lad_E08000037,0.0,2,-0.00781999233659035,0.00781999233659035,-0.007669962875064258,0.007669962875064258,0.3015603344937544,0.5829307463724214,LAD fixed effect,int8_dummy,False,True,0.0,0.0,False,0.5036927621861153,0.4194977843426883,0.5036927621861153,0.3663220088626292,2.159527326440177,True,auto_quick_xgb_plus_target_corr
lad_E07000137,0.0,2,-0.007817119231520866,0.007817119231520866,-0.013332003861039454,0.013332003861039454,0.30133877205129905,0.5830692007416685,LAD fixed effect,int8_dummy,False,True,0.0,0.0,False,0.5022156573116692,0.5923190546528804,0.5022156573116692,0.3663220088626292,2.329394387001477,True,auto_quick_xgb_plus_target_corr
lad_E07000092,0.0,2,-0.0077982812718588555,0.0077982812718588555,-0.010710013085085767,0.010710013085085767,0.29988808096135006,0.5839773778873695,LAD fixed effect,int8_dummy,False,True,0.0,0.0,False,0.5007385524372231,0.518463810930576,0.5007385524372231,0.3663220088626292,2.2525849335302803,True,auto_quick_xgb_plus_target_corr
lad_E07000035,0.0,2,-0.007732127549187176,0.007732127549187176,-0.0032355947900508603,0.0032355947900508603,0.29482138836185817,0.5871718500250713,LAD fixed effect,int8_dummy,False,True,0.0,0.0,False,0.4977843426883309,0.2038404726735598,0.4977843426883309,0.3663220088626292,1.93205317577548,True,auto_quick_xgb_plus_target_corr
income_lag1q,0.2152848165416582,1097,0.007636636439402266,0.007636636439402266,0.0023646420275508554,0.0023646420275508554,0.2875838950063455,0.5917971937525088,income / affordability,float32_numeric,True,True,0.0,0.0,False,0.4933530280649926,0.15140324963072377,0.4933530280649926,0.3663220088626292,1.8707533234859672,True,auto_quick_xgb_plus_target_corr
gbp_index_qoq_pct_lag8q,0.03790796675451044,23,-0.007609427943074783,0.007609427943074783,-0.03240255882029515,0.03240255882029515,0.285538167573308,0.5931181588568237,market / FX,float32_numeric,False,True,0.0,0.0,False,0.4918759231905465,0.7917282127031019,0.4918759231905465,0.3663220088626292,2.5081240768094535,True,auto_quick_xgb_plus_target_corr
lad_E09000008,0.0,2,-0.007406409875591903,0.007406409875591903,-0.012297922537028431,0.012297922537028431,0.27050438611941235,0.6030169746964342,LAD fixed effect,int8_dummy,False,True,0.0,0.0,False,0.48892171344165436,0.5672082717872969,0.48892171344165436,0.3663220088626292,2.277695716395864,True,auto_quick_xgb_plus_target_corr
lad_E07000187,0.0,2,-0.007345834430331246,0.007345834430331246,-0.013220163850271955,0.013220163850271955,0.26609744778904015,0.605984861363079,LAD fixed effect,int8_dummy,False,True,0.0,0.0,False,0.4874446085672083,0.5908419497784343,0.4874446085672083,0.3663220088626292,2.2983751846381093,True,auto_quick_xgb_plus_target_corr
lad_E07000208,0.0,2,-0.007330667221155674,0.007330667221155674,-0.000884201579263148,0.000884201579263148,0.26499968121859724,0.6067289986539387,LAD fixed effect,int8_dummy,False,True,0.0,0.0,False,0.4859675036927622,0.06942392909896603,0.4859675036927622,0.3663220088626292,1.7740029542097489,True,auto_quick_xgb_plus_target_corr
lad_E07000136,0.0,2,0.007220041003466802,0.007220041003466802,-0.0002127379646940379,0.0002127379646940379,0.25706146035921296,0.612168868367822,LAD fixed effect,int8_dummy,False,True,0.0,0.0,False,0.4844903988183161,0.014771048744460856,0.4844903988183161,0.3663220088626292,1.7163958641063515,True,auto_quick_xgb_plus_target_corr
unemployment_count_lag4q,0.6233529292519765,1667,0.007173641048474279,0.007173641048474279,0.017230674347656315,0.017230674347656315,0.2537678709555589,0.6144569150343093,unemployment,float32_numeric,True,True,0.0,0.0,False,0.48301329394387,0.672821270310192,0.48301329394387,0.3663220088626292,2.3714918759231907,True,auto_quick_xgb_plus_target_corr
gbp_index_yoy_pct_lag4q,0.03486722075815934,23,0.0071306711951309295,0.0071306711951309295,0.04995344912464502,0.04995344912464502,0.2507367009950964,0.6165791697931023,market / FX,float32_numeric,False,True,0.0,0.0,False,0.48005908419497784,0.8493353028064993,0.48005908419497784,0.3663220088626292,2.5420974889217134,True,auto_quick_xgb_plus_target_corr
lad_E08000026,0.0,2,0.007008030830245009,0.007008030830245009,0.005737593764339438,0.005737593764339438,0.24218561269616448,0.6226538955438764,LAD fixed effect,int8_dummy,False,True,0.0,0.0,False,0.47858197932053176,0.32791728212703103,0.47858197932053176,0.3663220088626292,2.017725258493353,True,auto_quick_xgb_plus_target_corr
log1p_annual_rent_to_income_lag4q,0.08108655990269613,4472,0.006886583045057037,0.006886583045057037,0.0008204094876898367,0.0008204094876898367,0.23386389438707308,0.6286949657158778,rent,float32_numeric,True,True,0.0,0.0,False,0.4756277695716396,0.0620384047267356,0.4756277695716396,0.3663220088626292,1.7459379615952733,True,auto_quick_xgb_plus_target_corr
lad_E08000004,0.0,2,0.006811840197655266,0.006811840197655266,0.008820153665671678,0.008820153665671678,0.22881477114972898,0.6324252604744104,LAD fixed effect,int8_dummy,False,True,0.0,0.0,False,0.4711964549483013,0.4608567208271787,0.4711964549483013,0.3663220088626292,2.1358936484490396,True,auto_quick_xgb_plus_target_corr
log1p_homelessness_total_assessments_lag4q,0.20616257855260492,776,0.006796258216128201,0.006796258216128201,0.01101424991651622,0.01101424991651622,0.2277690994808328,0.6332041153940028,target history,float32_numeric,False,True,0.0,0.0,False,0.46971935007385524,0.5280649926144756,0.46971935007385524,0.3663220088626292,2.2001477104874443,True,auto_quick_xgb_plus_target_corr
lad_E09000017,0.0,2,0.006792394245081248,0.006792394245081248,0.010593415074633484,0.010593415074633484,0.22751016770205965,0.6333973163547958,LAD fixed effect,int8_dummy,False,True,0.0,0.0,False,0.46824224519940916,0.5110782865583456,0.46824224519940916,0.3663220088626292,2.180206794682422,True,auto_quick_xgb_plus_target_corr
log1p_computed_homelessness_rate_per_1000_lag8q,0.34765862558280963,3173,0.0067647834424555495,0.0067647834424555495,0.00426554069202669,0.00426554069202669,0.2256642036718504,0.6347786005141742,target history,float32_numeric,False,True,0.0,0.0,False,0.4667651403249631,0.2621861152141802,0.4667651403249631,0.3663220088626292,1.9283604135893648,True,auto_quick_xgb_plus_target_corr
lad_E07000220,0.0,2,0.006740177916344186,0.006740177916344186,0.020621705190938994,0.020621705190938994,0.22402549931219753,0.636010612112632,LAD fixed effect,int8_dummy,False,True,0.0,0.0,False,0.465288035450517,0.7149187592319055,0.465288035450517,0.3663220088626292,2.3781388478581977,True,auto_quick_xgb_plus_target_corr
lad_E06000033,0.0,2,0.006725998366668143,0.006725998366668143,0.0015133450106619261,0.0015133450106619261,0.22308386751728526,0.6367210474072168,LAD fixed effect,int8_dummy,False,True,0.0,0.0,False,0.4638109305760709,0.10487444608567208,0.4638109305760709,0.3663220088626292,1.7651403249630724,True,auto_quick_xgb_plus_target_corr
internal_net_migration_qoq_pct_lag2q,0.04398945874721265,1113,0.00671760673023266,0.00671760673023266,-0.028383998326512914,0.028383998326512914,0.22252753216863616,0.6371416493662179,migration,float32_numeric,False,True,0.0,0.0,False,0.4623338257016248,0.7740029542097489,0.4623338257016248,0.3663220088626292,2.431314623338257,True,auto_quick_xgb_plus_target_corr
lad_E07000075,0.0,2,-0.00668283897618252,0.00668283897618252,-0.008851732293502503,0.008851732293502503,0.22022995621400623,0.6388855077491065,LAD fixed effect,int8_dummy,False,True,0.0,0.0,False,0.4608567208271787,0.4638109305760709,0.4608567208271787,0.3663220088626292,2.118168389955687,True,auto_quick_xgb_plus_target_corr
lad_E07000140,0.0,2,-0.00656661500456315,0.00656661500456315,-0.002792313423818987,0.002792313423818987,0.21263602219738262,0.6447294537446557,LAD fixed effect,int8_dummy,False,True,0.0,0.0,False,0.45790251107828656,0.17429837518463812,0.45790251107828656,0.3663220088626292,1.8227474150664698,True,auto_quick_xgb_plus_target_corr
lad_E07000239,0.0,2,-0.006565136731050125,0.006565136731050125,-0.01218534552449897,0.01218534552449897,0.21254029178982772,0.6448039264493106,LAD fixed effect,int8_dummy,False,True,0.0,0.0,False,0.4564254062038405,0.5627769571639586,0.4564254062038405,0.3663220088626292,2.2082717872968978,True,auto_quick_xgb_plus_target_corr
lad_E06000031,0.0,2,0.0065409615901556506,0.0065409615901556506,0.007232867410308905,0.007232867410308905,0.21097781081363076,0.6460223307325569,LAD fixed effect,int8_dummy,False,True,0.0,0.0,False,0.4549483013293944,0.3929098966026588,0.4549483013293944,0.3663220088626292,2.035450516986706,True,auto_quick_xgb_plus_target_corr
lad_E07000194,0.0,2,0.006491666308349533,0.006491666308349533,0.0025663707925591096,0.0025663707925591096,0.20780963528197782,0.6485097071630959,LAD fixed effect,int8_dummy,False,True,0.0,0.0,False,0.4534711964549483,0.16100443131462333,0.4534711964549483,0.3663220088626292,1.8005908419497785,True,auto_quick_xgb_plus_target_corr
lad_E07000084,0.0,2,-0.006487015634401359,0.006487015634401359,-0.0139473470044366,0.0139473470044366,0.20751197693647316,0.6487445772502016,LAD fixed effect,int8_dummy,False,True,0.0,0.0,False,0.4519940915805022,0.6144756277695717,0.4519940915805022,0.3663220088626292,2.251107828655835,True,auto_quick_xgb_plus_target_corr
lad_E07000156,0.0,2,0.006409677926245103,0.006409677926245103,0.007987664278545395,0.007987664278545395,0.20259338492458878,0.6526554202358554,LAD fixed effect,int8_dummy,False,True,0.0,0.0,False,0.44903988183161003,0.42688330871491875,0.44903988183161003,0.3663220088626292,2.0576070901033976,True,auto_quick_xgb_plus_target_corr
lad_E07000103,0.0,2,0.006330506770807723,0.006330506770807723,0.010297061798067265,0.010297061798067265,0.19761930272991776,0.6566688874781071,LAD fixed effect,int8_dummy,False,True,0.0,0.0,False,0.44756277695716395,0.5066469719350074,0.44756277695716395,0.3663220088626292,2.134416543574594,True,auto_quick_xgb_plus_target_corr
lad_E08000005,0.0,2,0.006249485150894464,0.006249485150894464,0.00861610714738018,0.00861610714738018,0.1925929767190633,0.6607864387280574,LAD fixed effect,int8_dummy,False,True,0.0,0.0,False,0.4460856720827179,0.4519940915805022,0.4460856720827179,0.3663220088626292,2.0768094534711965,True,auto_quick_xgb_plus_target_corr
