feature,intended_type,actual_pandas_dtype,feature_group,missing_rate_all_rows,nunique_all_rows
house_price_index_qoq_pct_lag2q,float32_numeric,float64,house price / housing,0.038876889848812095,6472
house_price_index_yoy_pct_lag2q,float32_numeric,float64,house price / housing,0.038876889848812095,6565
house_price_index_yoy_pct_lag4q,float32_numeric,float64,house price / housing,0.038876889848812095,6573
house_sales_volume_qoq_pct_lag1q,float32_numeric,float64,house price / housing,0.038876889848812095,6437
house_sales_volume_qoq_pct_lag2q,float32_numeric,float64,house price / housing,0.038876889848812095,6424
house_sales_volume_qoq_pct_lag4q,float32_numeric,float64,house price / housing,0.038876889848812095,6457
house_sales_volume_qoq_pct_lag8q,float32_numeric,float64,house price / housing,0.038876889848812095,6458
house_sales_volume_yoy_pct_lag1q,float32_numeric,float64,house price / housing,0.038876889848812095,6493
house_sales_volume_yoy_pct_lag2q,float32_numeric,float64,house price / housing,0.038876889848812095,6499
house_sales_volume_yoy_pct_lag4q,float32_numeric,float64,house price / housing,0.038876889848812095,6476
house_sales_volume_yoy_pct_lag8q,float32_numeric,float64,house price / housing,0.038876889848812095,6487
unemployment_count_yoy_pct_lag2q,float32_numeric,float64,unemployment,0.616414686825054,2661
unemployment_count_yoy_pct_lag4q,float32_numeric,float64,unemployment,0.616414686825054,2659
unemployment_count_yoy_pct_lag8q,float32_numeric,float64,unemployment,0.616414686825054,2660
private_rental_price_index_qoq_pct_lag1q,float32_numeric,float64,rent,0.06882649388048956,6467
private_rental_price_index_qoq_pct_lag4q,float32_numeric,float64,rent,0.06882649388048956,6467
private_rental_price_index_qoq_pct_lag8q,float32_numeric,float64,rent,0.06882649388048956,6467
private_rental_price_index_yoy_pct_lag1q,float32_numeric,float64,rent,0.06882649388048956,6467
private_rental_price_index_yoy_pct_lag2q,float32_numeric,float64,rent,0.06882649388048956,6467
private_rental_price_monthly_change_qoq_pct_lag1q,float32_numeric,float64,rent,0.06882649388048956,6467
private_rental_price_monthly_change_qoq_pct_lag2q,float32_numeric,float64,rent,0.06882649388048956,6467
private_rental_price_monthly_change_qoq_pct_lag4q,float32_numeric,float64,rent,0.06882649388048956,6467
private_rental_price_monthly_change_qoq_pct_lag8q,float32_numeric,float64,rent,0.06882649388048956,6467
private_rental_price_monthly_change_yoy_pct_lag1q,float32_numeric,float64,rent,0.06882649388048956,6467
private_rental_price_monthly_change_yoy_pct_lag2q,float32_numeric,float64,rent,0.06882649388048956,6467
private_rental_price_monthly_change_yoy_pct_lag4q,float32_numeric,float64,rent,0.06882649388048956,6467
